time,.layout.dim,.layout.data_offset,.data
2018/05/29/10:46:54.885466,[],0,"(-0.15815943479537964, -0.1908959001302719, 419.2152099609375)"
2018/05/29/10:46:54.902602,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:54.918151,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:54.949470,[],0,"(-0.15815943479537964, -0.1908959001302719, 419.2152099609375)"
2018/05/29/10:46:54.969490,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:54.981463,[],0,"(-0.15817418694496155, -0.19419917464256287, 419.51556396484375)"
2018/05/29/10:46:55.013332,[],0,"(-0.16835841536521912, -0.1908527910709381, 419.5155944824219)"
2018/05/29/10:46:55.030084,[],0,"(-0.16835841536521912, -0.1908527910709381, 419.5155944824219)"
2018/05/29/10:46:55.045615,[],0,"(-0.16835841536521912, -0.1908527910709381, 419.5155944824219)"
2018/05/29/10:46:55.077392,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:55.094187,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:55.110642,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:55.142879,[],0,"(-0.15815943479537964, -0.1908959001302719, 419.2152099609375)"
2018/05/29/10:46:55.158120,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:55.173585,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:55.210165,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:55.221290,[],0,"(-0.16835841536521912, -0.1908527910709381, 419.5155944824219)"
2018/05/29/10:46:55.253169,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:55.270479,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:55.287819,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:55.317313,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:55.334344,[],0,"(-0.16835841536521912, -0.1908527910709381, 419.5155944824219)"
2018/05/29/10:46:55.350813,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:55.381108,[],0,"(-0.15817418694496155, -0.19419917464256287, 419.51556396484375)"
2018/05/29/10:46:55.397893,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:55.430509,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:55.460942,[],0,"(-0.15815943479537964, -0.1908959001302719, 419.2152099609375)"
2018/05/29/10:46:55.477762,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:55.493710,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:55.525741,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:55.541588,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:55.557159,[],0,"(-0.16835841536521912, -0.1908527910709381, 419.5155944824219)"
2018/05/29/10:46:55.588935,[],0,"(-0.16326695680618286, -0.21049128472805023, 419.6655578613281)"
2018/05/29/10:46:55.606243,[],0,"(-0.163265660405159, -0.17456069588661194, 419.3656005859375)"
2018/05/29/10:46:55.621776,[],0,"(-0.16835841536521912, -0.1908527910709381, 419.5155944824219)"
